incident-type,direction,location,issue-description
Injury collision,outbound,Tates creek rd at Man o War Blvd,
Injury collision,,,
Injury collision,,,
Injury collision,,,
Injury collision,,,
Injury collision,,,
Injury collision,,,
,,,
Non-injury collision,,,
Non-injury collision,,,
Non-injury collision,,,
Non-injury collision,,,
Non-injury collision,,,
Non-injury collision,,,
Non-injury collision,,,
,,,
Traffic hazard,,,
Traffic hazard,,,
Traffic hazard,,,
Traffic hazard,,,
Traffic hazard,,,
Traffic hazard,,,
Traffic hazard,,,
Traffic hazard,,,
,,,
Stalled vehicle,,,
Stalled vehicle,,,
Stalled vehicle,,,
Stalled vehicle,,,
Stalled vehicle,,,
Stalled vehicle,,,
Stalled vehicle,,,
Stalled vehicle,,,
