event_id,event_recurring_id,event_name,event_subtitle,event_start_date,event_end_date,event_cost,event_location,event_address,event_city,event_state,event_zip,event_content,event_minutes_bit,event_agenda_bit,event_download_bit,event_hompage_bit,event_multi_bit,event_notify_bit,event_thumbnail_cmt_image_id,event_notify_date,event_date,event_user,event_live,,,,
16722,16714,Subdivision Plans & All Development Plans Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,*Not on regular day due to holiday,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,53:43.5,67,0,
16734,16714,Subdivision Plans & All Development Plans Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,*Not on regular day due to holiday,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,53:43.5,67,1,
16905,16897,Zoning Amendment Applications Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,*Not on regular day due to holiday,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,28:00.6,67,0,
16914,16897,Zoning Amendment Applications Filing Deadline,,00:00.0,00:00.0,$0,Division of Planning Office,7th Floor,101 East Vine Street,Lexington,Kentucky,40507,,*Not on regular day due to holiday,0,0,0,1,0,1,0,0,1/1/1900 0:00:00,28:00.6,67,1,
18053,0,Internal Audit Board Meeting,,00:00.0,00:00.0,,10th floor conference room - UCG Center,200 E. Main St.,,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,30:02.0,47,0,,
18057,0,Internal Audit Board Meeting,,00:00.0,00:00.0,,10th floor conference room - UCG Center,200 E. Main St.,,Kentucky,,,,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,30:02.0,47,1,,
17482,0,General Government & Social Services Committee,,00:00.0,00:00.0,,Council Chamber,200 East Main Street,Lexington,Kentucky,40507,,"<A href=""http://www.lexingtonky.gov/Modules/ShowDocument.aspx?documentid=32471"">Packet - July 5",2016 General Government &amp; Social Services Committee</A>,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,29:56.6,199,0,
17483,0,General Government & Social Services Committee,,00:00.0,00:00.0,,Council Chamber,200 East Main Street,Lexington,Kentucky,40507,,"<A href=""http://www.lexingtonky.gov/Modules/ShowDocument.aspx?documentid=32471"">Packet - July 5",2016 General Government &amp; Social Services Committee</A>,0,0,0,0,0,0,0,0,1/1/1900 0:00:00,29:56.6,199,1,
17409,17144,Council Work Session,,00:00.0,00:00.0,,Council Chamber,200 East Main Street,Lexington,Kentucky,40507,,"<A href=""http://www.lexingtonky.gov/Modules/ShowDocument.aspx?documentid=32477"">July 5",2016 Work Session Packet</A>,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,41:13.6,199,1,
17170,17144,Council Work Session,,00:00.0,00:00.0,,Council Chamber,200 East Main Street,Lexington,Kentucky,40507,,"<A href=""http://www.lexingtonky.gov/Modules/ShowDocument.aspx?documentid=32477"">July 5",2016 Work Session Packet</A>,0,0,0,1,0,0,0,0,1/1/1900 0:00:00,41:13.6,199,0,
